ID,SampleID,Second_ID
Chlamy6,ICL_100,ICL_100
Chlamy7,ICL_101,ICL_101
Chlamy8,ICL_102,ICL_103
Chlamy9,ICL_103,ICL_104
Chlamy10,ICL_104,ICL_105
Chlamy11,ICL_106,ICL_106
Chlamy12,ICL_107,ICL_107
Chlamy13,ICL_108,ICL_108
Chlamy14,ICL_109,ICL_109
Chlamy15,ICL_110,ICL_110
Chlamy16,ICL_111,ICL_111A
Chlamy17,ICL_111,ICL_111B
Chlamy18,ICL_111,ICL_111C
Chlamy19,ICL_112,ICL_112
Chlamy20,ICL_113,ICL_113A
Chlamy21,ICL_113,ICL_113B
Chlamy22,ICL_114,ICL_114A
Chlamy23,ICL_114B,ICL_114B
Chlamy24,ICL_115,ICL_115
Chlamy25,ICL_116,ICL_116
Chlamy26,ICL_117,ICL_117
Chlamy27,ICL_118A,ICL_118A
Chlamy28,ICL_118B,ICL_118B
Chlamy29,ICL_119A,ICL_119A
Chlamy30,ICL_122A,ICL_122A
Chlamy31,ICL_122B,ICL_122B
Chlamy32,ICL_123A,ICL_123A
Chlamy33,ICL_123B,ICL_123B
Chlamy34,ICL_125B,ICL_125B
Chlamy35,ICL_126A,ICL_126A
Chlamy36,ICL_126B,ICL_126B
Chlamy37,ICL_127A,ICL_127
Chlamy38,ICL_127B,ICL_127
Chlamy39,ICL_128,ICL_128
Chlamy40,ICL_129,ICL_129A
Chlamy41,ICL_129,ICL_129B
Chlamy42,ICL_13,ICL_13
Chlamy43,ICL_131,ICL_131
Chlamy44,ICL_132,ICL_132
Chlamy45,ICL_133,ICL_133
Chlamy46,ICL_135B,ICL_135B
Chlamy47,ICL_136A,ICL_136A
Chlamy48,ICL_136B,ICL_136B
Chlamy49,ICL_139A,ICL_139A
Chlamy50,ICL_139B,ICL_139B
Chlamy51,ICL_142B,ICL_142B
Chlamy52,ICL_144,ICL_144
Chlamy53,ICL_145,ICL_145
Chlamy54,ICL_146,ICL_146
Chlamy55,ICL_147,ICL_147
Chlamy56,ICL_147AB,ICL_147A
Chlamy57,ICL_147AB,ICL_147B
Chlamy58,ICL_148,ICL_148
Chlamy59,ICL_149,ICL_149
Chlamy60,ICL_150,ICL_150
Chlamy61,ICL_151,ICL_151
Chlamy62,ICL_152,ICL_152
Chlamy63,ICL_153,ICL_153
Chlamy64,ICL_154,ICL_154
Chlamy65,ICL_155,ICL_155A
Chlamy66,ICL_155,ICL_155BA
Chlamy67,ICL_155,ICL_155BB
Chlamy68,ICL_155,ICL_155C
Chlamy69,ICL_156,ICL_156
Chlamy70,ICL_157,ICL_157
Chlamy71,ICL_158,ICL_158
Chlamy72,ICL_159,ICL_159A
Chlamy73,ICL_159,ICL_159B
Chlamy74,ICL_160,ICL_160
Chlamy75,ICL_161B,ICL_161B
Chlamy76,ICL_162,ICL_162
Chlamy77,ICL_163,ICL_163
Chlamy78,ICL_164,ICL_164A
Chlamy79,ICL_164,ICL_164B
Chlamy80,ICL_165,ICL_165
Chlamy81,ICL_166,ICL_166
Chlamy82,ICL_167,ICL_167
Chlamy83,ICL_168,ICL_168
Chlamy84,ICL_169A,ICL_169A
Chlamy85,ICL_169B,ICL_169B
Chlamy86,ICL_17,ICL_17
Chlamy87,ICL_170,ICL_170
Chlamy88,ICL_171,ICL_171A
Chlamy89,ICL_171,ICL_171B
Chlamy90,ICL_172,ICL_172
Chlamy91,ICL_173,ICL_173
Chlamy92,ICL_174B,ICL_174B
Chlamy93,ICL_175,ICL_175
Chlamy94,ICL_176,ICL_176
Chlamy95,ICL_177,ICL_177A
Chlamy96,ICL_177,ICL_177B
Chlamy97,ICL_178,ICL_178
Chlamy98,ICL_179,ICL_179A
Chlamy99,ICL_179,ICL_179B
Chlamy100,ICL_180,ICL_180A
Chlamy101,ICL_180,ICL_180B
Chlamy102,ICL_181,ICL_181
Chlamy103,ICL_182,ICL_182
Chlamy104,ICL_183,ICL_183A
Chlamy105,ICL_183,ICL_183B
Chlamy106,ICL_184A,ICL_184A
Chlamy107,ICL_184B,ICL_184BA
Chlamy108,ICL_184B,ICL_184BB
Chlamy109,ICL_185,ICL_185A
Chlamy110,ICL_185,ICL_185B
Chlamy111,ICL_186,ICL_186A
Chlamy112,ICL_186,ICL_186B
Chlamy113,ICL_187,ICL_187
Chlamy114,ICL_188,ICL_188
Chlamy115,ICL_189,ICL_189
Chlamy116,ICL_190,ICL_190
Chlamy117,ICL_191,ICL_191
Chlamy118,ICL_192,ICL_192
Chlamy119,ICL_193,ICL_193
Chlamy120,ICL_194,ICL_194
Chlamy121,ICL_196,ICL_196
Chlamy122,ICL_197,ICL_197
Chlamy123,ICL_199,ICL_199
Chlamy124,ICL_200,ICL_200
Chlamy125,ICL_201,ICL_201
Chlamy126,ICL_202,ICL_202A
Chlamy127,ICL_202,ICL_202B
Chlamy128,ICL_202,ICL_202C
Chlamy129,ICL_203,ICL_203
Chlamy130,ICL_204,ICL_204
Chlamy131,ICL_205,ICL_205
Chlamy132,ICL_206,ICL_206
Chlamy133,ICL_208,ICL_208
Chlamy134,ICL_208B,ICL_208B
Chlamy135,ICL_20B,ICL_20BA
Chlamy136,ICL_20B,ICL_20BB
Chlamy137,ICL_21,ICL_21
Chlamy138,ICL_210,ICL_210
Chlamy139,ICL_211,ICL_211
Chlamy140,ICL_212,ICL_212
Chlamy141,ICL_213,ICL_213
Chlamy142,ICL_214,ICL_214
Chlamy143,ICL_216,ICL_216
Chlamy144,ICL_217,ICL_217
Chlamy145,ICL_218,ICL_218
Chlamy146,ICL_22A,ICL_22A
Chlamy147,ICL_22B,ICL_22B
Chlamy148,ICL_23,ICL_23
Chlamy149,ICL_24,ICL_24
Chlamy150,ICL_25,ICL_25
Chlamy151,ICL_26,ICL_26
Chlamy152,ICL_27,ICL_27
Chlamy153,ICL_28,ICL_28
Chlamy154,ICL_29,ICL_29
Chlamy155,ICL_3,ICL_3
Chlamy156,ICL_30,ICL_30
Chlamy157,ICL_31,ICL_31
Chlamy158,ICL_33A,ICL_33A
Chlamy159,ICL_34,ICL_34
Chlamy160,ICL_37,ICL_37
Chlamy161,ICL_39,ICL_39
Chlamy162,ICL_41,ICL_41
Chlamy163,ICL_42A,ICL_42A
Chlamy164,ICL_44,ICL_44
Chlamy165,ICL_48,ICL_48
Chlamy166,ICL_49,ICL_49
Chlamy167,ICL_50,ICL_50
Chlamy168,ICL_51,ICL_51
Chlamy169,ICL_52,ICL_52
Chlamy170,ICL_53,ICL_53
Chlamy171,ICL_54,ICL_54
Chlamy172,ICL_55,ICL_55
Chlamy173,ICL_56,ICL_56
Chlamy174,ICL_58,ICL_58
Chlamy175,ICL_59,ICL_59
Chlamy176,ICL_60,ICL_60
Chlamy177,ICL_63A,ICL_63A
Chlamy178,ICL_63B,ICL_63B
Chlamy179,ICL_64,ICL_64
Chlamy180,ICL_7,ICL_7
Chlamy181,ICL_71,ICL_71
Chlamy182,ICL_72,ICL_72
Chlamy183,ICL_73,ICL_73
Chlamy184,ICL_74,ICL_74
Chlamy185,ICL_75,ICL_75
Chlamy186,ICL_77,ICL_77
Chlamy187,ICL_78,ICL_78
Chlamy188,ICL_79,ICL_79
Chlamy189,ICL_80,ICL_80
Chlamy190,ICL_81,ICL_81
Chlamy191,ICL_82,ICL_82
Chlamy192,ICL_83,ICL_83
Chlamy193,ICL_84,ICL_84
Chlamy194,ICL_86,ICL_86
Chlamy195,ICL_86,ICL_86
Chlamy196,ICL_87,ICL_87
Chlamy197,ICL_88,ICL_88
Chlamy198,ICL_89,ICL_89
Chlamy199,ICL_9,ICL_9
Chlamy200,ICL_90,ICL_90
Chlamy201,ICL_91,ICL_91
Chlamy202,ICL_92,ICL_92
Chlamy203,ICL_93,ICL_93
Chlamy204,ICL_94,ICL_94
Chlamy205,ICL_95,ICL_95
Chlamy206,ICL_96,ICL_96
Chlamy207,ICL_97,ICL_97
Chlamy208,ICL_98,ICL_98
Chlamy209,ICL_99,ICL_99
Chlamy210,ICL_X,ICL_X
Chlamy211,ICL_X2,ICL_X2
