well,row,col,B_lbl,C_lbl,F680,A680,A750
A1,A,1,0.2,0.25,4669.0,0.8036999702453613,0.5047000050544739
B1,B,1,0.175,0.25,4835.0,0.8648999929428101,0.5055999755859375
C1,C,1,0.15,0.25,4641.0,0.7752000093460083,0.4729999899864197
D1,D,1,0.125,0.25,4778.0,0.7807999849319458,0.449400007724762
E1,E,1,0.1,0.25,4939.0,0.7615000009536743,0.4314999878406525
F1,F,1,0.05,0.25,5389.0,0.7242000102996826,0.3928000032901764
G1,G,1,0.025,0.25,6295.0,0.7174999713897705,0.3795000016689301
H1,H,1,0.0,0.25,6657.0,0.7160999774932861,0.3673000037670136
A2,A,2,0.2,0.225,4216.0,0.7441999912261963,0.4826000034809113
B2,B,2,0.175,0.225,4186.0,0.7221000194549559,0.4688000082969666
C2,C,2,0.15,0.225,4561.0,0.7192999720573425,0.4415999948978424
D2,D,2,0.125,0.225,4568.0,0.7044000029563904,0.4189999997615814
E2,E,2,0.1,0.225,4740.0,0.7077999711036682,0.4079000055789948
F2,F,2,0.05,0.225,5191.0,0.7390999794006348,0.3973999917507172
G2,G,2,0.025,0.225,5566.0,0.7458000183105469,0.3865000009536743
H2,H,2,0.0,0.225,6514.0,0.6812000274658203,0.353300005197525
A3,A,3,0.2,0.2,4099.0,0.7045999765396118,0.4815999865531922
B3,B,3,0.175,0.2,4873.0,1.0532000064849854,0.5860000252723694
C3,C,3,0.15,0.2,4304.0,0.644599974155426,0.4097000062465668
D3,D,3,0.125,0.2,4494.0,0.6951000094413757,0.4142999947071075
E3,E,3,0.1,0.2,4585.0,0.6628999710083008,0.3856000006198883
F3,F,3,0.05,0.2,5292.0,0.7157999873161316,0.3817000091075897
G3,G,3,0.025,0.2,5773.0,0.5921000242233276,0.3267999887466431
H3,H,3,0.0,0.2,5904.0,0.5353000164031982,0.2870999872684479
A4,A,4,0.2,0.175,3412.0,0.6523000001907349,0.4523999989032746
B4,B,4,0.175,0.175,3766.0,0.6520000100135803,0.444599986076355
C4,C,4,0.15,0.175,4085.0,0.621399998664856,0.3995000123977661
D4,D,4,0.125,0.175,4360.0,0.6455000042915344,0.4013999998569489
E4,E,4,0.1,0.175,4220.0,0.5490999817848206,0.3506999909877777
F4,F,4,0.05,0.175,5232.0,0.6166999936103821,0.3418000042438507
G4,G,4,0.025,0.175,6113.0,0.6007999777793884,0.3278999924659729
H4,H,4,0.0,0.175,5730.0,0.5102000236511229,0.2721999883651733
A5,A,5,0.2,0.15,4035.0,0.671999990940094,0.4422000050544739
B5,B,5,0.175,0.15,3673.0,0.5734999775886536,0.3973000049591065
C5,C,5,0.15,0.15,3803.0,0.5332000255584717,0.3619000017642975
D5,D,5,0.125,0.15,3706.0,0.5164999961853027,0.3402000069618225
E5,E,5,0.1,0.15,4147.0,0.5304999947547913,0.3346999883651733
F5,F,5,0.05,0.15,5213.0,0.5837000012397766,0.32710000872612
G5,G,5,0.025,0.15,5094.0,0.4424999952316284,0.2549000084400177
H5,H,5,0.0,0.15,5285.0,0.4370999932289124,0.24310000240802765
A6,A,6,0.2,0.125,2958.0,0.5848000049591064,0.41839998960495
B6,B,6,0.175,0.125,3482.0,0.571399986743927,0.4018000066280365
C6,C,6,0.15,0.125,3538.0,0.5130000114440918,0.35409998893737793
D6,D,6,0.125,0.125,4313.0,0.5824000239372253,0.362199991941452
E6,E,6,0.1,0.125,3917.0,0.4907999932765961,0.3172999918460846
F6,F,6,0.05,0.125,5118.0,0.4963000118732453,0.29030001163482666
G6,G,6,0.025,0.125,4543.0,0.38960000872612,0.2311999946832657
H6,H,6,0.0,0.125,4641.0,0.3808000087738037,0.21040000021457672
A7,A,7,0.2,0.1,3433.0,0.5827999711036682,0.40950000286102295
B7,B,7,0.175,0.1,2783.0,0.4990000128746033,0.36890000104904175
C7,C,7,0.15,0.1,3149.0,0.4797999858856201,0.3440999984741211
D7,D,7,0.125,0.1,3124.0,0.4472000002861023,0.3091000020503998
E7,E,7,0.1,0.1,3390.0,0.44190001487731934,0.2955999970436096
F7,F,7,0.05,0.1,3632.0,0.3529999852180481,0.2281000018119812
G7,G,7,0.025,0.1,4243.0,0.3578000068664551,0.21250000596046448
H7,H,7,0.0,0.1,3873.0,0.3179999887943268,0.17339999973773956
A8,A,8,0.2,0.075,2282.0,0.4850000143051148,0.3765999972820282
B8,B,8,0.175,0.075,2548.0,0.4587000012397766,0.3553999960422516
C8,C,8,0.15,0.075,2680.0,0.4336999952793121,0.32350000739097595
D8,D,8,0.125,0.075,3158.0,0.436599999666214,0.3037000000476837
E8,E,8,0.1,0.075,2785.0,0.3713000118732453,0.26750001311302185
F8,F,8,0.05,0.075,3686.0,0.33550000190734863,0.22040000557899475
G8,G,8,0.025,0.075,3331.0,0.2899999916553497,0.1852000057697296
H8,H,8,0.0,0.075,3504.0,0.26440000534057617,0.1657000035047531
A9,A,9,0.2,0.05,1939.0,0.4530999958515167,0.3668999969959259
B9,B,9,0.175,0.05,1914.0,0.4065000116825104,0.3294999897480011
C9,C,9,0.15,0.05,2024.0,0.39660000801086426,0.3188999891281128
D9,D,9,0.125,0.05,2037.0,0.3384999930858612,0.2691999971866608
E9,E,9,0.1,0.05,2210.0,0.31769999861717224,0.24060000479221344
F9,F,9,0.05,0.05,2534.0,0.25920000672340393,0.1898999959230423
G9,G,9,0.025,0.05,2451.0,0.22759999334812164,0.15950000286102295
H9,H,9,0.0,0.05,2292.0,0.1965000033378601,0.13609999418258667
A10,A,10,0.2,0.025,1080.0,0.4023000001907349,0.3495000004768372
B10,B,10,0.175,0.025,1177.0,0.3632000088691712,0.3188000023365021
C10,C,10,0.15,0.025,1224.0,0.3203999996185303,0.2791000008583069
D10,D,10,0.125,0.025,1174.0,0.2777999937534332,0.24130000174045566
E10,E,10,0.1,0.025,1193.0,0.24699999392032626,0.2134999930858612
F10,F,10,0.05,0.025,1270.0,0.19460000097751615,0.1607999950647354
G10,G,10,0.025,0.025,1285.0,0.15870000422000885,0.1298999935388565
H10,H,10,0.0,0.025,1247.0,0.1387999951839447,0.11240000277757643
A11,A,11,0.2,0.005,245.0,0.3504999876022339,0.3237000107765198
B11,B,11,0.175,0.005,243.0,0.31029999256134033,0.2940999865531921
C11,C,11,0.15,0.005,228.0,0.26460000872612,0.25110000371932983
D11,D,11,0.125,0.005,233.0,0.2335000038146973,0.22429999709129333
E11,E,11,0.1,0.005,259.0,0.19789999723434448,0.19089999794960025
F11,F,11,0.05,0.005,286.0,0.1591999977827072,0.1542000025510788
G11,G,11,0.025,0.005,275.0,0.11580000072717668,0.11309999972581865
H11,H,11,0.0,0.005,284.0,0.093299999833107,0.0926000028848648
A12,A,12,0.2,0.0,8.0,0.3294000029563904,0.3172999918460846
B12,B,12,0.175,0.0,4.0,0.2991000115871429,0.2870999872684479
C12,C,12,0.15,0.0,8.0,0.2515000104904175,0.2430000007152557
D12,D,12,0.125,0.0,3.0,0.21870000660419464,0.2137999981641769
E12,E,12,0.1,0.0,4.0,0.19699999690055847,0.19539999961853027
F12,F,12,0.05,0.0,4.0,0.13210000097751615,0.13189999759197235
G12,G,12,0.025,0.0,4.0,0.10620000213384627,0.10920000076293944
H12,H,12,0.0,0.0,3.0,0.08269999921321869,0.09009999781847
