#SampleID	chlamy_RA	sampling_day	pbr_tube	max_od_group	bact_RA	B_mean	C_mean	B_std	C_std	cc_mean_ratio	PBR_680	PBR_720
exp4.d0.t3	0.00390625	0.0	3.0	0.2	0.99609375	311574.74606000003	70355.58782	56855.90084787166	14213.975211967898	4.428571428571429	0.06914	0.04347
exp4.d0.t4	0.0258899676375405	0.0	4.0	0.2	0.9741100323624595	1143278.302075	103020.68216499999	579219.4898876923	17767.469014959894	11.097560975609758	0.06044	0.042339999999999996
exp4.d0.t5	0.0537974683544304	0.0	5.0	0.2	0.9462025316455696	502539.91300000006	70355.58782	7106.987605983919	7106.987605983953	7.142857142857143	0.06767000000000001	0.03243
exp4.d0.t6	0.0402010050251256	0.0	6.0	0.2	0.9597989949748744	454798.6212650001	60304.789560000005	60409.394650863615	7106.98760598396	7.541666666666668	0.05844	0.03803
exp4.d0.t7	0.0180505415162455	0.0	7.0	0.2	0.9819494584837545	1082973.512515	65330.18869	302046.97325431794	7106.987605983937	16.576923076923077	0.055310000000000005	0.02995
exp4.d0.t8	0.0131500298864316	0.0	8.0	0.2	0.9868499701135685	776424.1655849998	57792.08999499999	117265.29549873515	31981.444226927797	13.434782608695652	0.08644	0.05545
exp4.d0.t2	0.0836501901140684	0.0	2.0	0.2	0.9163498098859316	683454.28168	27639.695214999996	85283.85127180758	3553.493802991975	24.72727272727273	0.06427999999999999	0.03265
exp4.d0.t1	0.0062050947093403	0.0	1.0	0.2	0.9937949052906597	324138.243885	37690.493475	3553.493802992001	17767.469014959883	8.6	0.06084	0.032560000000000006
exp4.d1.t1	0.281173594132029	1.0	1.0	0.2	0.718826405867971	3640064.1031633336	289798.01649666665	241288.9453550837	55583.1256305975	12.5606936416185	0.11874000000000001	0.06089
exp4.d1.t2	0.13017751479289902	1.0	2.0	0.2	0.869822485207101	3680267.2962033325	256295.35563	133937.33634562072	54358.00272866138	14.359477124183003	0.12369000000000001	0.06459
exp4.d1.t8	0.11471690668771	1.0	8.0	0.2	0.88528309331229	6866370.344623334	236193.75911	180448.45400310465	45228.59216999996	29.070921985815602	0.1563	0.09013
exp4.d1.t6	0.14787430683918698	1.0	6.0	0.2	0.852125693160813	4596565.070906667	237868.8921533333	214704.7499963195	10461.202502667673	19.323943661971835	0.10167999999999999	0.06195
exp4.d1.t7	0.13233204789933	1.0	7.0	0.2	0.86766795210067	4254837.930066668	132335.51042333335	228770.6818315806	24789.705244675966	32.15189873417722	0.10894000000000001	0.05679
exp4.d1.t4	0.0828288793739849	1.0	4.0	0.2	0.9171711206260151	5331948.47693	273046.68606333336	37940.9314026534	11605.66216196322	19.527607361963188	0.11415	0.07436
exp4.d1.t3	0.100123304562269	1.0	3.0	0.2	0.899876695437731	4740626.512633334	351777.9391	219531.92135426207	23029.271910590225	13.476190476190476	0.1285	0.07646
exp4.d1.t5	0.0731840524303659	1.0	5.0	0.2	0.9268159475696341	6397333.09249	217767.29563333336	196633.79249914602	11605.662161963257	29.376923076923074	0.13568	0.06816
exp4.d2.t7	0.0129458089005977	2.0	7.0	0.2	0.9870541910994023	39322073.05920667	259645.62171666665	3234563.0576642123	7676.423970196744	151.4451612903226	0.29614	0.17645999999999998
exp4.d2.t1	0.00965911755052281	2.0	1.0	0.2	0.9903408824494772	44813159.17525333	274721.81910666666	4705299.033753032	39034.55388610053	163.1219512195122	0.3235	0.1771
exp4.d2.t3	0.0330343736049673	2.0	3.0	0.2	0.9669656263950327	35033732.46827333	368529.26953333337	1449410.2572510086	60374.546424917244	95.06363636363633	0.344	0.19927
exp4.d2.t4	0.0323633683175963	2.0	4.0	0.2	0.9676366316824037	41287004.11903667	268021.2869333334	2359072.088204289	22660.779784788912	154.04375	0.31309000000000003	0.19735
exp4.d2.t8	0.0169982615414333	2.0	8.0	0.2	0.9830017384585668	53327860.43451667	350102.80605666665	3202454.4071038943	55355.48047349043	152.32057416267943	0.36478	0.19558
exp4.d2.t5	0.00604151383075131	2.0	5.0	0.2	0.9939584861692486	45587070.64127334	184264.63476666668	3562157.556739424	38622.62537632833	247.40000000000003	0.36202	0.19276
exp4.d2.t6	0.0115113625086831	2.0	6.0	0.2	0.9884886374913169	38492882.20275667	237868.8921533333	3099381.3868197436	16154.398048105957	161.8239436619719	0.26488	0.15777
exp4.d2.t2	0.00520635253694937	2.0	2.0	0.2	0.9947936474630507	53857202.47621	162487.90520333333	2889971.549070056	34207.18473165573	331.45360824742266	0.32911999999999997	0.18695
exp4.d3.t8	0.143573030557892	3.0	8.0	0.2	0.856426969442108	25165523.70999667	455636.18778666673	1528261.2501081675	7676.42397019677	55.231617647058826	0.39626999999999996	0.19558
exp4.d3.t7	0.118071684137844	3.0	7.0	0.2	0.881928315862156	22485310.84066333	479088.0503933334	879047.5121553545	48289.17852265288	46.93356643356641	0.38224	0.18750999999999998
exp4.d3.t3	0.177203996816695	3.0	3.0	0.2	0.822796003183305	17461586.843706664	536042.5738666668	1436880.4593552698	71129.07630005843	32.57499999999999	0.36914	0.19858
exp4.d3.t2	0.0924666162761401	3.0	2.0	0.2	0.9075333837238599	30448893.328670003	393656.2651833333	1385516.3020470592	17648.621734522458	77.34893617021278	0.38434	0.19369
exp4.d3.t4	0.141213389121339	3.0	4.0	0.2	0.858786610878661	20867132.320803333	403707.06344333343	1307862.738460958	110596.8455128269	51.68879668049791	0.30365	0.19077
exp4.d3.t1	0.29895479158796096	3.0	1.0	0.2	0.7010452084120391	19875453.55915	681779.1486366667	1355209.5498728505	53734.967791377305	29.15233415233415	0.39207	0.19485
exp4.d3.t6	0.104496179136307	3.0	6.0	0.2	0.895503820863693	20833629.659936666	415432.9947466667	1234452.5829458958	89943.88175521517	50.149193548387096	0.34521999999999997	0.18733
exp4.d3.t5	0.18600287007396	3.0	5.0	0.2	0.81399712992604	17826765.847153332	701880.7451566667	972779.3401960924	2901.415540490823	25.398568019093073	0.4103600000000001	0.19777
exp4.d4.t3	0.0919201089423514	4.0	3.0	0.2	0.9080798910576486	19838600.63219667	512590.71126	938772.715079672	43521.23310736206	38.70261437908497	0.36339	0.19789
exp4.d4.t2	0.06470736629667	4.0	2.0	0.2	0.93529263370333	32874485.975416664	487463.71561	3146398.8770032977	21905.20695862723	67.43986254295532	0.39534	0.20077
exp4.d4.t1	0.0789993759101311	4.0	1.0	0.2	0.9210006240898689	27326445.33589667	500864.7799566668	1650691.2644059588	48289.1785226529	54.55852842809364	0.38119000000000003	0.19147
exp4.d4.t8	0.0751052782206959	4.0	8.0	0.2	0.9248947217793041	27210861.155906666	705231.0112433335	2124717.9119487214	113080.78633674164	38.58432304038004	0.38799999999999996	0.19422
exp4.d4.t7	0.0889587571666358	4.0	7.0	0.2	0.9110412428333642	24331307.454416666	713606.6764600001	495692.2189237032	72477.33697154847	34.09624413145539	0.39932	0.19817
exp4.d4.t6	0.12259234081124	4.0	6.0	0.2	0.87740765918876	22538915.09805	492489.11473999993	973488.6909990648	48463.19414431786	45.76530612244898	0.34205	0.18644000000000002
exp4.d4.t5	0.114848793747876	4.0	5.0	0.2	0.885151206252124	22991201.01975	629850.0242933334	2056954.2451299848	103153.3816372126	36.502659574468076	0.40228	0.19663
exp4.d4.t4	0.103994717728623	4.0	4.0	0.2	0.896005282271377	23932625.79010333	422133.52692	950602.211130424	10050.79826000001	56.69444444444444	0.31668	0.19712000000000002
exp4.d5.t7	0.119880016549441	5.0	7.0	0.2	0.880119983450559	27651421.146303333	373554.6686633333	3371141.4691947107	67858.39697351438	74.02242152466368	0.36817	0.18863
exp4.d5.t8	0.123332909945383	5.0	8.0	0.2	0.876667090054617	38137753.99757	539392.8399533335	1182763.744363458	56484.532400737844	70.70496894409936	0.37954	0.18975
exp4.d5.t6	0.13108640099454402	5.0	6.0	0.2	0.868913599005456	28254469.041903336	676753.7495066667	2480111.2676120615	103030.89588456758	41.75	0.33764	0.18533
exp4.d5.t1	0.0772838397445492	5.0	1.0	0.2	0.9227161602554508	35082311.32653	505890.17908666655	3923118.3141698237	55355.48047349046	69.34768211920532	0.37568	0.19124000000000002
exp4.d5.t2	0.0745443003536773	5.0	2.0	0.2	0.9254556996463227	42308835.27547	693505.07994	5098549.144027332	26112.73986441726	61.0072463768116	0.37224	0.19143
exp4.d5.t3	0.105793450881612	5.0	3.0	0.2	0.894206549118388	25944460.575146664	673403.48342	2139830.843195056	62767.21501600606	38.527363184079604	0.35705	0.1947
exp4.d5.t4	0.0685886761032473	5.0	4.0	0.2	0.9314113238967527	28334875.42798333	520966.37647666654	2577678.702883881	135809.80375391195	54.38906752411576	0.3197	0.19644
exp4.d5.t5	0.0881889763779528	5.0	5.0	0.2	0.9118110236220472	32062046.44940001	465686.98604666675	2898448.777016821	80144.21914120197	68.84892086330936	0.39364	0.18937
exp4.d6.t1	0.0351962457337884	6.0	1.0	0.2	0.9648037542662116	57038280.1255	636550.5564666665	9808478.446708804	71835.67387421639	89.60526315789475	0.35824	0.19304000000000002
exp4.d6.t8	0.0870691889090438	6.0	8.0	0.2	0.9129308110909562	50175260.04696333	296498.54867	8626211.908222523	51002.230841678786	169.22598870056495	0.27791	0.14535
exp4.d6.t7	0.0788224121557455	6.0	7.0	0.2	0.9211775878442545	32531083.701533336	438884.85735333327	2329229.5789812063	38382.1198509837	74.12213740458017	0.37327	0.19451
exp4.d6.t6	0.116271069831441	6.0	6.0	0.2	0.883728930168559	54827104.5083	381930.33388	6188719.3478669	26591.912673640738	143.55263157894737	0.34586	0.1916
exp4.d6.t5	0.162061239731143	6.0	5.0	0.2	0.837938760268857	53889030.00403333	651626.7538566667	1376723.966965888	40307.75288638778	82.69922879177376	0.31761999999999996	0.15753
exp4.d6.t4	0.119362186788155	6.0	4.0	0.2	0.880637813211845	28741932.75751333	356803.33822999994	2259398.0624841754	39249.621926384105	80.55399061032864	0.27925	0.17595
exp4.d6.t3	0.0682685829777678	6.0	3.0	0.2	0.9317314170222322	28162336.72452	363503.8704033333	2133499.450123062	46422.64864785298	77.4746543778802	0.31418	0.17755
exp4.d6.t2	0.0667534399404983	6.0	2.0	0.2	0.9332465600595017	51302624.58512667	489138.84865333344	3293321.3617698024	59954.7878253512	104.88356164383559	0.36246999999999996	0.19574
exp4.d7.t8	0.0857053487644667	7.0	8.0	0.2	0.9142946512355333	39329778.67120601	618124.0929899999	2556598.40093362	105593.19096219131	63.62764227642279	0.35181999999999997	0.17941
exp4.d7.t7	0.0604107933950866	7.0	7.0	0.2	0.9395892066049134	31381942.43380667	447260.52257	2222603.614898984	34816.98648588971	70.16479400749064	0.30074	0.15912
exp4.d7.t3	0.042840713053479	7.0	3.0	0.2	0.957159286946521	24507196.423966665	335026.6086666666	1120904.358051315	54202.91538627743	73.15	0.18395	0.10545
exp4.d7.t2	0.0241624365482234	7.0	2.0	0.2	0.9758375634517766	45133109.58653	348427.6730133334	4832827.3445046935	7676.423970196755	129.5336538461538	0.19253	0.10565999999999999
exp4.d7.t5	0.072856221792392	7.0	5.0	0.2	0.927143778207608	38136078.86452667	234518.62606666665	2389218.365187521	19025.85404022297	162.61428571428573	0.35251	0.17327
exp4.d10.t6	0.137171052631579	10.0	6.0	0.2	0.862828947368421	40040705.13479667	487463.71561	1649681.1929519146	64160.001058106114	82.14089347079039	0.33204	0.1934
exp4.d10.t5	0.183944374209861	10.0	5.0	0.2	0.816055625790139	35586526.37257334	1010105.2251299999	2169024.9840598824	118177.0448857983	35.23051409618574	0.39543	0.19367
exp4.d10.t4	0.2461257976299	10.0	4.0	0.2	0.7538742023700999	22197187.95721	480763.18343666656	1794088.60440814	33460.756333860874	46.17073170731709	0.3122	0.19303
exp4.d10.t3	0.229390681003584	10.0	3.0	0.2	0.770609318996416	25765221.33951	956500.9677433334	283033.0487963092	49579.410489351874	26.936952714535902	0.35408	0.19858
exp4.d10.t2	0.0670103092783505	10.0	2.0	0.2	0.9329896907216495	47887028.30977	659332.3658559999	3353690.611700202	38007.43615378478	72.62957317073173	0.31156999999999996	0.17184000000000002
exp4.d10.t1	0.14707305273343	10.0	1.0	0.2	0.85292694726657	38074098.941923335	1092186.7442533334	3589459.121892328	92709.19368386401	34.86042944785276	0.35824	0.19035
exp4.d10.t7	0.0941890166028097	10.0	7.0	0.2	0.9058109833971904	33589767.78492	626499.7582066666	1423164.2863391188	45599.32453704318	53.614973262032095	0.3638	0.19337000000000001
exp4.d10.t8	0.16183986371379902	10.0	8.0	0.2	0.838160136286201	33866164.73707	567870.1016899999	3103223.6367250374	90596.6712144356	59.63716814159293	0.36209	0.19130999999999998
exp4.d11.t8	0.20859965136548494	11.0	8.0	0.2	0.791400348634515	35916527.582109995	867718.9164466667	2636141.600640566	73228.41751867381	41.39189189189189	0.37399	0.19738
exp4.d11.t7	0.177262931034483	11.0	7.0	0.2	0.822737068965517	35943329.71080333	696855.3460266666	2589959.92181618	5802.83108098167	51.57932692307693	0.35291	0.18774000000000002
exp4.d11.t6	0.19780701754386	11.0	6.0	0.2	0.80219298245614	45829964.93255667	859343.2512299998	4996511.351147526	84540.29870820633	53.33138401559455	0.33702	0.19499
exp4.d11.t5	0.14004914004914	11.0	5.0	0.2	0.8599508599508601	41437766.092936665	799038.4616700001	4699896.452962405	170641.71760569836	51.85953878406708	0.37378	0.1964
exp4.d11.t3	0.219846022241232	11.0	3.0	0.2	0.780153977758768	23409984.28058333	1179293.662506667	1726971.1784219744	68229.54867685032	19.850852272727263	0.34048	0.19266
exp4.d11.t2	0.15606936416185002	11.0	2.0	0.2	0.84393063583815	43169853.65974333	855992.9851433333	2875443.329932848	107469.93558275432	50.43248532289628	0.36313	0.19483
exp4.d11.t1	0.18421052631578896	11.0	1.0	0.2	0.8157894736842111	51331101.84686334	1323355.1042333334	4928306.038352014	30705.695880786923	38.78860759493671	0.36154000000000003	0.18923
exp4.d11.t4	0.138044371405094	11.0	4.0	0.2	0.8619556285949059	31368541.369459998	649951.6208133333	2029309.4337410415	65394.58514594014	48.26288659793814	0.30805	0.19712000000000002
exp4.d14.t2	0.155729343760626	14.0	2.0	0.2	0.844270656239374	37182369.78518888	943658.2810777776	1142912.639164643	148967.58893886296	39.40236686390533	0.37156	0.1971
exp4.d14.t3	0.226757369614512	14.0	3.0	0.2	0.773242630385488	19191440.899788886	552793.9042999999	1285721.4476210116	90596.6712144356	34.717171717171716	0.35341999999999996	0.19744
exp4.d14.t4	0.26289180990899896	14.0	4.0	0.2	0.737108190091001	23879021.53271666	594672.2303833333	1158781.6825764806	85003.7180694645	40.154929577464785	0.30365	0.19326
exp4.d14.t5	0.228650137741047	14.0	5.0	0.2	0.771349862258953	27321419.936766665	826398.9680444446	1813848.8798874568	194151.70162233792	33.06081081081081	0.39115	0.19846
exp4.d14.t6	0.202358311144922	14.0	6.0	0.2	0.797641688855078	41745990.57291	752134.7364566667	5510698.898268446	104846.46878964137	55.503340757238306	0.33639	0.19545
exp4.d14.t7	0.233493397358944	14.0	7.0	0.2	0.766506602641056	34398857.04485001	640738.3890750001	2001801.509018815	41457.427701573	53.68627450980392	0.37842	0.19679000000000002
exp4.d14.t8	0.368377483443709	14.0	8.0	0.2	0.631622516556291	26874717.791877776	851525.9636944445	6744825.657260235	135658.19950112628	31.560655737704913	0.36851	0.19333
exp4.d14.t1	0.129347969845259	14.0	1.0	0.2	0.870652030154741	25025370.91203778	1087998.911645	1125305.7874664005	116855.3888788431	23.001283038234536	0.37843000000000004	0.19735
