,A680_V1,A720_V1,A680_V2,A720_V2,A680_V3,A720_V3,A680_V4,A720_V4,A680_V5,A720_V5,A680_V6,A720_V6,A680_V7,A720_V7,A680_V8,A720_V8,Bv1,Cv1,Bv2,Cv2,Bv3,Cv3,Bv4,Cv4,Bv5,Cv5,Bv6,Cv6,Bv7,Cv7,Bv8,Cv8
2019-05-11 19:15:00,0.14455666666666667,0.07065,0.15505333333333335,0.08542999999999999,0.13679666666666665,0.08273666666666668,0.14495999999999998,0.09801333333333334,0.12742666666666666,0.06280666666666666,0.14680666666666667,0.09292,0.16474666666666668,0.09217000000000003,0.09494,0.04928666666666666,-0.002338044446193794,0.03385900988789788,0.007605348700512092,0.031170286105991676,0.014429032013892474,0.023571313663924728,0.026125803611687117,0.01946284818790192,-0.0015068952483248664,0.029564692320260252,0.01981222857310905,0.02309362005971725,0.009547226525028457,0.03237256380613511,0.00148910444348971,0.02069800360516154
2019-05-12 19:45:00,0.39971999999999996,0.19818666666666665,0.3794133333333334,0.20126,0.3604866666666667,0.19965333333333327,0.33324000000000004,0.19591000000000006,0.3996266666666666,0.19968666666666668,0.34363666666666665,0.19257333333333332,0.41447666666666666,0.21699,0.39554666666666666,0.20301333333333332,-0.003499963994486498,0.09211590163472126,0.010450387916582057,0.08042636293527174,0.018766914600354116,0.07191615812652005,0.02924025675560878,0.060427919652785114,-0.0018786391248378684,0.0912695992199897,0.02025009807632435,0.06735325156971805,0.00840904415904039,0.08938947059978807,0.00376348852431826,0.08747585450921269
2019-05-13 20:00:00,0.40384,0.19507666666666668,0.3923566666666667,0.19475333333333333,0.37417,0.19888666666666666,0.34602666666666665,0.19826666666666667,0.41098666666666667,0.1983133333333333,0.37184,0.19849,0.4051666666666667,0.20008666666666666,0.38826,0.17854666666666666,-0.008936158400758861,0.09581387178993604,-0.0032075400047025665,0.09030299315354738,0.010733550036460636,0.07909727680392381,0.024953940348134928,0.06549925254601395,-0.009320209745811657,0.0976244505929069,0.01154894787915337,0.07815569465796102,-0.004386618322479144,0.09379810085081222,-0.018027671433096335,0.09692020680091493
2019-05-14 20:45:00,0.40764,0.19834000000000002,0.3934333333333333,0.19710333333333327,0.36834666666666666,0.19629666666666667,0.3325066666666667,0.19613666666666665,0.4081433333333333,0.19892,0.3737566666666667,0.19864,0.39944,0.19870666666666667,0.41532,0.1989,-0.007523977323060328,0.09595388966290473,-0.0013136048486584507,0.08958235317998615,0.01109609989284208,0.07759670770367347,0.02986527788837379,0.05994407186134335,-0.00718208073780982,0.09589362429912028,0.0106934355396392,0.07902428292041191,-0.0028070562703628762,0.0916999522769298,-0.010994991913770317,0.09945617792409456
2019-05-15 17:30:00,0.40032666666666666,0.19727666666666666,0.37854,0.19414666666666666,0.35222,0.19896666666666665,0.32591,0.19872666666666666,0.3972200000000001,0.1949533333333333,0.36946666666666667,0.1977266666666667,0.3834166666666667,0.1981733333333333,0.39639,0.1912366666666667,-0.004774195933175273,0.0929015538340432,0.003457011573557789,0.08378842989625677,0.02241516001674225,0.06819108083544617,0.03606511055788528,0.055297717898905877,-0.005567588708799886,0.09260327931071066,0.012002972706328798,0.07738824830537333,0.005100290422731607,0.08405414611553687,-0.009024131568716056,0.09417498877083273
2019-05-16 17:00:00,0.3865366666666667,0.19605666666666666,0.36806,0.19543,0.3517833333333333,0.19812333333333332,0.32755,0.19758333333333333,0.3856366666666667,0.19647666666666666,0.35827000000000003,0.19941,0.3775,0.19679333333333332,0.3815233333333333,0.19034333333333334,0.001233488243789095,0.08672734446838977,0.010339294064619827,0.07791711588931968,0.021762063507076986,0.06842480466808933,0.03400035911951675,0.05671925033551074,0.0021491860465252953,0.08605788452921764,0.01968312463128501,0.07094887806864007,0.006780243189817273,0.08186196248675018,-0.002105217800298247,0.08729366796937561
2019-05-17 14:45:00,0.38806333333333337,0.19659,0.3766966666666667,0.19885333333333333,0.34604,0.19372,0.32284333333333337,0.19704666666666668,0.3866866666666667,0.19640333333333332,0.3576133333333333,0.19918,0.3815466666666667,0.1959533333333333,0.35588000000000003,0.19686666666666666,0.0009857769787966445,0.08719844091436965,0.009363596092929903,0.08036555827717375,0.02018195800636996,0.06793107306930726,0.03592480057393618,0.05467608204491927,0.0015175414245748983,0.08661666841486787,0.019789047478498616,0.07074656321693645,0.0037617714108473515,0.084312805645892,0.018280503637662746,0.0711226466043618
2019-05-20 15:30:00,0.3336733333333333,0.16626666666666667,0.34112666666666663,0.17857333333333333,0.2875233333333333,0.16122,0.3037533333333333,0.18810666666666664,0.3442433333333333,0.17685666666666666,0.30867,0.17971333333333336,0.3671100000000001,0.2029,0.3786333333333334,0.2086366666666667,-0.002055118097615464,0.07645433237131757,0.0069042176885624204,0.0735786900599984,0.017040317439460773,0.056305637280551504,0.03664224517791329,0.04999668778059625,0.0034583794522255787,0.07603687607339742,0.02524814524286843,0.05690710963472808,0.01866985809917038,0.07346239402901168,0.01859331471604613,0.07610556231008724
2019-05-21 15:00:00,0.3052766666666667,0.17177333333333333,0.2683466666666667,0.13994666666666666,0.23753000000000002,0.13308,0.2875133333333333,0.16818333333333335,0.31444,0.17637999999999998,0.5504399999999999,0.4111933333333333,0.38704,0.1980933333333333,0.38223,0.1952033333333333,0.018719914552864658,0.05946292419161833,0.004878137654630339,0.05816203005078698,0.013964494075552227,0.04657292870207472,0.024343221531814934,0.05258640077677017,0.01870608189096891,0.06154082745617208,0.1400962059481244,0.053091304819646815,0.003101981335461006,0.08589008363026851,0.0026147120188449793,0.08505105677407723
2019-05-22 15:30:00,0.31978,0.17943,0.37911333333333336,0.19490666666666667,0.3404766666666667,0.19251333333333331,0.2607033333333333,0.15860333333333335,0.3012733333333333,0.15123666666666666,0.021936666666666663,0.01122,0.3592633333333333,0.19096,0.35930666666666666,0.19392333333333334,0.019080995030835712,0.06255681758275262,0.00395056332182129,0.08366679585564259,0.021856873772621434,0.06582130452050537,0.028468975073465533,0.04442759391792304,-0.0006874008617722292,0.06843598066038092,0.0001679113134510833,0.0048721035206845,0.01030261784887814,0.07594778489445644,0.013385315071494645,0.07438857021204609
2019-05-23 15:15:00,0.33198666666666665,0.18848333333333334,0.33721999999999996,0.17522,0.3459366666666666,0.19698,0.27585666666666664,0.17148333333333335,0.33805,0.17089000000000001,0.06692333333333332,0.03560666666666667,0.3304566666666667,0.15390666666666666,0.36568666666666666,0.18458666666666668,0.022119286392629372,0.06376905054191975,0.0054540757025475315,0.07343388716262986,0.023653058486624582,0.06614102599390602,0.03396070224865218,0.0450570262079041,0.0004776575407213656,0.07615432203900456,0.0019555993918068493,0.01412895832767993,-0.013308884397148026,0.08145523978010728,0.0002294108015926601,0.08252640709827565
2019-05-24 17:00:00,0.34010333333333337,0.19742333333333334,0.3731533333333334,0.19520666666666667,0.31579333333333337,0.20003666666666664,0.27989,0.18333666666666668,0.3342966666666667,0.20719,0.32356,0.19032,0.4054066666666667,0.22386,0.36907666666666666,0.20132666666666665,0.02719984588828707,0.06301750795107149,0.007414063565249508,0.08055704270846262,0.0427833646688755,0.049592001139307326,0.04425197450868765,0.04073056385684363,0.040503459677309034,0.05493406117058778,0.028496541736865888,0.058618823424123424,0.02040118627508343,0.08123603134815056,0.015981862176037514,0.0752749655673118
